metric_name,preprocess,similarity,n_valid_queries,mAP@1,mAP@5,mAP@10,mAP@20,mAP@50
cosine_l2,l2,dot,61,0.08196721311475409,0.12049180327868854,0.15000650533437418,0.1596372333785418,0.1759479677812325
dot_raw,raw,dot,61,0.0,0.0644808743169399,0.09121129326047357,0.10506199603798955,0.11942702658284429
neg_l2_raw,raw,neg_l2,61,0.08196721311475409,0.12131147540983607,0.15080666146239918,0.1606376690608787,0.17643673037690016
neg_l2_standard,standard,neg_l2,61,0.08196721311475409,0.12540983606557377,0.14288966952901375,0.16458122595512836,0.17794282841849984
neg_l1_raw,raw,neg_l1,61,0.08196721311475409,0.12540983606557377,0.15565313557116833,0.1649501049909617,0.1813698357212735
neg_l1_standard,standard,neg_l1,61,0.08196721311475409,0.13196721311475412,0.1565964090554254,0.16794114785156755,0.18160851050738927
