field_set,fields,n_queries_evaluated,k,map
numeric+categorical+text,Last location;Other_descriptions;arm color;diameter_cm;disk color;madreporite_descriptions;num_apparent_arms;num_arms;reticulation_descriptions;rosette_descriptions;sex;stripe_descriptions;volume_ml,61,1,0.016393
numeric+categorical+text,Last location;Other_descriptions;arm color;diameter_cm;disk color;madreporite_descriptions;num_apparent_arms;num_arms;reticulation_descriptions;rosette_descriptions;sex;stripe_descriptions;volume_ml,61,5,0.093989
numeric+categorical+text,Last location;Other_descriptions;arm color;diameter_cm;disk color;madreporite_descriptions;num_apparent_arms;num_arms;reticulation_descriptions;rosette_descriptions;sex;stripe_descriptions;volume_ml,61,10,0.122060
numeric+categorical+text,Last location;Other_descriptions;arm color;diameter_cm;disk color;madreporite_descriptions;num_apparent_arms;num_arms;reticulation_descriptions;rosette_descriptions;sex;stripe_descriptions;volume_ml,61,20,0.143863
numeric+categorical+text,Last location;Other_descriptions;arm color;diameter_cm;disk color;madreporite_descriptions;num_apparent_arms;num_arms;reticulation_descriptions;rosette_descriptions;sex;stripe_descriptions;volume_ml,61,50,0.151860
numeric+codes,diameter_cm;num_apparent_arms;num_arms;short_arm_codes;volume_ml,61,1,0.098361
numeric+codes,diameter_cm;num_apparent_arms;num_arms;short_arm_codes;volume_ml,61,5,0.178689
numeric+codes,diameter_cm;num_apparent_arms;num_arms;short_arm_codes;volume_ml,61,10,0.203695
numeric+codes,diameter_cm;num_apparent_arms;num_arms;short_arm_codes;volume_ml,61,20,0.221266
numeric+codes,diameter_cm;num_apparent_arms;num_arms;short_arm_codes;volume_ml,61,50,0.225933
numeric+codes+text,Last location;Other_descriptions;diameter_cm;madreporite_descriptions;num_apparent_arms;num_arms;reticulation_descriptions;rosette_descriptions;short_arm_codes;stripe_descriptions;volume_ml,61,1,0.016393
numeric+codes+text,Last location;Other_descriptions;diameter_cm;madreporite_descriptions;num_apparent_arms;num_arms;reticulation_descriptions;rosette_descriptions;short_arm_codes;stripe_descriptions;volume_ml,61,5,0.151639
