2025-12-05 15:31:53 | INFO | starBoard.search.engine | sid=20251205-153150-ef3033 | rank_start qid=SP23A top_k=50 include=['arm_color', 'arm_thickness', 'central_disc_color', 'health_observation', 'location', 'madreporite_color', 'num_apparent_arms', 'num_total_arms', 'overall_color', 'papillae_central_disc_color', 'papillae_stripe_color', 'reticulation_order', 'rosette_color', 'rosette_prominence', 'short_arm_code', 'stripe_color', 'stripe_extent', 'stripe_order', 'stripe_prominence', 'tip_to_tip_size_cm', 'unusual_observation'] active=['location', 'madreporite_color', 'num_apparent_arms', 'num_total_arms', 'overall_color', 'reticulation_order', 'rosette_color', 'rosette_prominence', 'short_arm_code', 'stripe_color', 'stripe_order', 'tip_to_tip_size_cm', 'unusual_observation'] weights={'short_arm_code': 1.0, 'rosette_prominence': 1.0, 'num_apparent_arms': 1.0, 'location': 1.0, 'stripe_color': 1.0, 'num_total_arms': 1.0, 'tip_to_tip_size_cm': 1.0, 'overall_color': 1.0, 'madreporite_color': 1.0, 'unusual_observation': 1.0, 'stripe_order': 1.0, 'reticulation_order': 1.0, 'rosette_color': 1.0} offsets={}
2025-12-05 15:31:53 | INFO | starBoard.search.engine | sid=20251205-153150-ef3033 | rank_k_contrib_hist qid=SP23A {1: 6, 10: 9, 11: 9, 12: 28, 13: 2}
2025-12-05 15:31:53 | INFO | starBoard.search.engine | sid=20251205-153150-ef3033 | rank_top qid=SP23A i=1 gid=Pluot score=0.788 k=12 location=1.000 madreporite_color=1.000 num_apparent_arms=0.607 num_total_arms=1.000 overall_color=1.000 reticulation_order=1.000 rosette_color=0.713 short_arm_code=0.667 stripe_color=0.602 stripe_order=1.000 tip_to_tip_size_cm=0.016 unusual_observation=0.848
2025-12-05 15:31:53 | INFO | starBoard.search.engine | sid=20251205-153150-ef3033 | rank_top qid=SP23A i=2 gid=Salmonberry score=0.748 k=11 location=1.000 madreporite_color=1.000 num_apparent_arms=0.607 num_total_arms=1.000 overall_color=0.602 reticulation_order=1.000 rosette_color=0.581 short_arm_code=0.452 stripe_order=1.000 tip_to_tip_size_cm=0.072 unusual_observation=0.916
2025-12-05 15:31:53 | INFO | starBoard.search.engine | sid=20251205-153150-ef3033 | rank_top qid=SP23A i=3 gid=Miso score=0.699 k=12 location=1.000 madreporite_color=1.000 num_apparent_arms=0.368 num_total_arms=1.000 overall_color=0.385 reticulation_order=1.000 rosette_color=0.713 short_arm_code=0.417 stripe_color=0.602 stripe_order=1.000 tip_to_tip_size_cm=0.019 unusual_observation=0.882
2025-12-05 15:31:53 | INFO | starBoard.search.engine | sid=20251205-153150-ef3033 | rank_top qid=SP23A i=4 gid=Macaron score=0.697 k=11 location=1.000 madreporite_color=1.000 num_apparent_arms=1.000 num_total_arms=0.607 overall_color=0.546 reticulation_order=1.000 rosette_color=0.000 short_arm_code=0.601 stripe_order=1.000 tip_to_tip_size_cm=0.017 unusual_observation=0.897
2025-12-05 15:31:53 | INFO | starBoard.search.engine | sid=20251205-153150-ef3033 | rank_top qid=SP23A i=5 gid=Taco score=0.695 k=10 location=1.000 madreporite_color=1.000 num_apparent_arms=0.368 num_total_arms=1.000 reticulation_order=1.000 rosette_color=0.581 short_arm_code=0.602 stripe_color=0.385 stripe_order=1.000 tip_to_tip_size_cm=0.011
2025-12-05 15:31:53 | INFO | starBoard.search.engine | sid=20251205-153150-ef3033 | rank_top qid=SP23A i=6 gid=Popcorn score=0.690 k=11 location=1.000 madreporite_color=1.000 num_apparent_arms=0.368 num_total_arms=0.607 reticulation_order=1.000 rosette_color=0.581 short_arm_code=0.585 stripe_color=0.602 stripe_order=1.000 tip_to_tip_size_cm=0.026 unusual_observation=0.824
2025-12-05 15:31:53 | INFO | starBoard.search.engine | sid=20251205-153150-ef3033 | rank_top qid=SP23A i=7 gid=Granola score=0.678 k=12 location=1.000 madreporite_color=1.000 num_apparent_arms=0.607 num_total_arms=1.000 reticulation_order=1.000 rosette_color=0.581 rosette_prominence=0.000 short_arm_code=0.500 stripe_color=0.602 stripe_order=1.000 tip_to_tip_size_cm=0.027 unusual_observation=0.819
2025-12-05 15:31:53 | INFO | starBoard.search.engine | sid=20251205-153150-ef3033 | rank_top qid=SP23A i=8 gid=Hummus score=0.675 k=10 location=1.000 madreporite_color=0.543 num_apparent_arms=1.000 num_total_arms=1.000 overall_color=0.602 reticulation_order=0.000 rosette_color=0.581 short_arm_code=0.500 stripe_color=0.602 unusual_observation=0.926
2025-12-05 15:31:53 | INFO | starBoard.search.engine | sid=20251205-153150-ef3033 | rank_top qid=SP23A i=9 gid=Pringle score=0.666 k=12 location=1.000 madreporite_color=1.000 num_apparent_arms=0.368 num_total_arms=1.000 overall_color=0.602 reticulation_order=1.000 rosette_color=0.000 short_arm_code=0.500 stripe_color=0.602 stripe_order=1.000 tip_to_tip_size_cm=0.034 unusual_observation=0.890
2025-12-05 15:31:53 | INFO | starBoard.search.engine | sid=20251205-153150-ef3033 | rank_top qid=SP23A i=10 gid=Cookie score=0.649 k=11 location=1.000 madreporite_color=1.000 num_apparent_arms=0.368 num_total_arms=1.000 reticulation_order=1.000 rosette_color=0.000 short_arm_code=0.402 stripe_color=0.602 stripe_order=1.000 tip_to_tip_size_cm=0.027 unusual_observation=0.745
2025-12-05 15:31:53 | INFO | starBoard.data.id_registry | sid=20251205-153150-ef3033 | list_ids target=Gallery count=55 (exclude_silent=False)
2025-12-05 15:31:53 | INFO | starBoard.data.id_registry | sid=20251205-153150-ef3033 | list_ids target=Queries count=54 (exclude_silent=False)
2025-12-05 15:31:53 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Pluot count=3
2025-12-05 15:31:54 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Salmonberry count=10
2025-12-05 15:31:54 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Miso count=5
2025-12-05 15:31:54 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Macaron count=3
2025-12-05 15:31:55 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Taco count=4
2025-12-05 15:31:55 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Popcorn count=8
2025-12-05 15:31:55 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Granola count=5
2025-12-05 15:31:56 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Hummus count=6
2025-12-05 15:31:56 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Pringle count=5
2025-12-05 15:31:56 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Cookie count=5
2025-12-05 15:31:57 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Jello count=6
2025-12-05 15:31:57 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Cheeto count=7
2025-12-05 15:31:57 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Chip count=8
2025-12-05 15:31:58 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Frito count=4
2025-12-05 15:31:58 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Gusher count=5
2025-12-05 15:31:58 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Pop Tart count=7
2025-12-05 15:31:59 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Bento count=7
2025-12-05 15:31:59 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Edamame count=5
2025-12-05 15:31:59 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Almond count=5
2025-12-05 15:32:00 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Funnel Cake count=7
2025-12-05 15:32:00 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Triscuit count=4
2025-12-05 15:32:00 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Skittle count=7
2025-12-05 15:32:01 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Ube count=6
2025-12-05 15:32:01 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Gummy Bear count=5
2025-12-05 15:32:01 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Cracker count=6
2025-12-05 15:32:02 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Butter Nut count=5
2025-12-05 15:32:02 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Cherry count=5
2025-12-05 15:32:02 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Cashew count=10
2025-12-05 15:32:03 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Torta count=5
2025-12-05 15:32:03 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Rice Cake count=8
2025-12-05 15:32:03 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Peanut Butter count=5
2025-12-05 15:32:04 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Goldfish count=7
2025-12-05 15:32:04 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Sammy count=2
2025-12-05 15:32:04 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Goji count=6
2025-12-05 15:32:05 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Pudding count=3
2025-12-05 15:32:05 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Empanada count=9
2025-12-05 15:32:05 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Salsa count=8
2025-12-05 15:32:06 | INFO | starBoard.data.images | sid=20251205-153150-ef3033 | image_list target=Gallery id=Ritz count=6
