name,fields,n_fields,num_queries_with_pos,num_eval_queries,selection_k,selection_cmc,cmc@1,cmc@2,cmc@3,cmc@4,cmc@5,cmc@6,cmc@7,cmc@8,cmc@9,cmc@10,cmc@11,cmc@12,cmc@13,cmc@14,cmc@15,cmc@16,cmc@17,cmc@18,cmc@19,cmc@20,cmc@21,cmc@22,cmc@23,cmc@24,cmc@25,cmc@26,cmc@27,cmc@28,cmc@29,cmc@30,cmc@31,cmc@32,cmc@33,cmc@34,cmc@35,cmc@36,map@1,map@2,map@3,map@4,map@5,map@6,map@7,map@8,map@9,map@10,map@11,map@12,map@13,map@14,map@15,map@16,map@17,map@18,map@19,map@20,map@21,map@22,map@23,map@24,map@25,map@26,map@27,map@28,map@29,map@30,map@31,map@32,map@33,map@34,map@35,map@36
num_apparent_arms + stripe_descriptions,num_apparent_arms + stripe_descriptions,2,61,53,36,1.0,0.1320754716981132,0.22641509433962265,0.2830188679245283,0.37735849056603776,0.41509433962264153,0.49056603773584906,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.6226415094339622,0.660377358490566,0.6981132075471698,0.6981132075471698,0.7547169811320755,0.7547169811320755,0.7547169811320755,0.8113207547169812,0.8113207547169812,0.8301886792452831,0.8301886792452831,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.9056603773584906,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9622641509433962,1.0,1.0,1.0,0.1320754716981132,0.1792452830188679,0.19811320754716982,0.22169811320754718,0.22924528301886793,0.24182389937106918,0.24721473495058402,0.24721473495058402,0.24721473495058402,0.25664869721473493,0.2600792289471535,0.26322388303520383,0.26322388303520383,0.26726700971983997,0.26726700971983997,0.26726700971983997,0.2669895402414826,0.2669895402414826,0.26798258890086685,0.26798258890086685,0.26888106149745267,0.26888106149745267,0.26888106149745267,0.26888106149745267,0.2711452124408489,0.2725965912507182,0.2725965912507182,0.2725965912507182,0.2732472093379011,0.2732472093379011,0.2732472093379011,0.2732472093379011,0.2732472093379011,0.2743570872513306,0.2743570872513306,0.2743570872513306
num_apparent_arms + rosette_descriptions,num_apparent_arms + rosette_descriptions,2,61,55,36,1.0,0.14545454545454545,0.2727272727272727,0.3090909090909091,0.38181818181818183,0.43636363636363634,0.4727272727272727,0.4909090909090909,0.6,0.6363636363636364,0.7090909090909091,0.7090909090909091,0.7272727272727273,0.7636363636363637,0.7636363636363637,0.8,0.8181818181818182,0.8727272727272727,0.8727272727272727,0.9090909090909091,0.9272727272727272,0.9272727272727272,0.9272727272727272,0.9272727272727272,0.9272727272727272,0.9454545454545454,0.9454545454545454,0.9636363636363636,0.9636363636363636,0.9818181818181818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14545454545454545,0.20909090909090908,0.2212121212121212,0.23939393939393938,0.25030303030303025,0.25636363636363635,0.25896103896103895,0.27259740259740256,0.2766378066378066,0.28118326118326115,0.28118326118326115,0.28269841269841267,0.2854956154956155,0.2854956154956155,0.28791985791985786,0.2890562215562215,0.2922647777059541,0.2922647777059541,0.29417865330404025,0.29508774421313116,0.29508774421313116,0.29508774421313116,0.29508774421313116,0.29508774421313116,0.29581501694040385,0.29581501694040385,0.29648841761380457,0.29648841761380457,0.2971153768614534,0.29772143746751406,0.29772143746751406,0.29772143746751406,0.29772143746751406,0.29772143746751406,0.29772143746751406,0.29772143746751406
num_apparent_arms + disk color,num_apparent_arms + disk color,2,61,56,36,1.0,0.125,0.16071428571428573,0.21428571428571427,0.26785714285714285,0.39285714285714285,0.42857142857142855,0.48214285714285715,0.5178571428571429,0.5357142857142857,0.5714285714285714,0.625,0.6607142857142857,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7321428571428571,0.8214285714285714,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.875,0.875,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.9107142857142857,0.9285714285714286,0.9464285714285714,0.9464285714285714,0.9464285714285714,0.9464285714285714,0.9464285714285714,0.9821428571428571,1.0,1.0,0.125,0.14285714285714285,0.16071428571428573,0.17410714285714285,0.19910714285714287,0.20505952380952383,0.2127125850340136,0.2171768707482993,0.21916099773242628,0.22273242630385484,0.22624974232117087,0.22922593279736134,0.23334681191824044,0.23334681191824044,0.23334681191824044,0.23446288334681187,0.23971498418714798,0.24169911117127496,0.24169911117127496,0.24169911117127496,0.24254945130732938,0.24254945130732938,0.24332584882285735,0.24332584882285735,0.24332584882285735,0.24332584882285735,0.243987224484233,0.24462497958627383,0.24524074313307187,0.24524074313307187,0.24524074313307187,0.24524074313307187,0.24524074313307187,0.2462911633011391,0.24680136738277175,0.24680136738277175
num_apparent_arms + madreporite_descriptions,num_apparent_arms + madreporite_descriptions,2,61,53,36,1.0,0.11320754716981132,0.22641509433962265,0.2830188679245283,0.33962264150943394,0.4339622641509434,0.4339622641509434,0.5283018867924528,0.5283018867924528,0.5660377358490566,0.6415094339622641,0.660377358490566,0.6792452830188679,0.6792452830188679,0.6792452830188679,0.6792452830188679,0.6792452830188679,0.7547169811320755,0.7735849056603774,0.7924528301886793,0.7924528301886793,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.8867924528301887,0.9245283018867925,0.9245283018867925,0.9245283018867925,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9622641509433962,1.0,1.0,1.0,0.11320754716981132,0.16981132075471697,0.18867924528301888,0.2028301886792453,0.22169811320754718,0.22169811320754718,0.23517520215633425,0.23517520215633425,0.23936807427373466,0.24408505540581013,0.2458003212720194,0.24737264831604455,0.24737264831604455,0.24737264831604455,0.24737264831604455,0.24737264831604455,0.25181215996976264,0.25286037799911276,0.25385342665849703,0.25385342665849703,0.25654884444825443,0.25654884444825443,0.25654884444825443,0.25654884444825443,0.2580582784105186,0.25950965722038793,0.25950965722038793,0.25950965722038793,0.2608108933947536,0.2608108933947536,0.2608108933947536,0.2608108933947536,0.2608108933947536,0.2619207713081831,0.2619207713081831,0.2619207713081831
num_apparent_arms + reticulation_descriptions,num_apparent_arms + reticulation_descriptions,2,61,53,36,1.0,0.11320754716981132,0.22641509433962265,0.2641509433962264,0.33962264150943394,0.37735849056603776,0.41509433962264153,0.5094339622641509,0.5283018867924528,0.5660377358490566,0.5660377358490566,0.6415094339622641,0.660377358490566,0.660377358490566,0.7169811320754716,0.7169811320754716,0.7547169811320755,0.8113207547169812,0.8301886792452831,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.9056603773584906,0.9245283018867925,0.9245283018867925,0.9245283018867925,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9622641509433962,1.0,1.0,1.0,0.11320754716981132,0.16981132075471697,0.18238993710691823,0.2012578616352201,0.2088050314465409,0.2150943396226415,0.2285714285714286,0.23092991913746633,0.23512279125486674,0.23229260257562145,0.23915366604045848,0.2407259930844837,0.2407259930844837,0.24476911976911978,0.24476911976911978,0.2471276103351575,0.25045724407544606,0.2515054621047962,0.25249851076418045,0.25249851076418045,0.25249851076418045,0.25249851076418045,0.25249851076418045,0.25249851076418045,0.2547626617075767,0.2554883511125114,0.2554883511125114,0.2554883511125114,0.256789587286877,0.256789587286877,0.256789587286877,0.256789587286877,0.256789587286877,0.25789946520030654,0.25789946520030654,0.25789946520030654
num_apparent_arms + arm color,num_apparent_arms + arm color,2,61,54,36,1.0,0.05555555555555555,0.07407407407407407,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2962962962962963,0.2962962962962963,0.3148148148148148,0.35185185185185186,0.4074074074074074,0.42592592592592593,0.46296296296296297,0.5925925925925926,0.6666666666666666,0.7407407407407407,0.7777777777777778,0.8148148148148148,0.8148148148148148,0.8333333333333334,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.9074074074074074,0.9074074074074074,0.9259259259259259,0.9444444444444444,0.9444444444444444,0.9814814814814815,0.9814814814814815,0.9814814814814815,0.9814814814814815,1.0,1.0,1.0,1.0,0.05555555555555555,0.06481481481481481,0.0771604938271605,0.0771604938271605,0.0993827160493827,0.0993827160493827,0.1099647266313933,0.1099647266313933,0.11202233980011757,0.11572604350382126,0.1207765485543263,0.12231975843086952,0.1251687612798724,0.1344280205391316,0.13936629214406987,0.1439959217736995,0.14617457101117226,0.14823218417989653,0.14823218417989653,0.14915811010582244,0.14915811010582244,0.15190782952220852,0.15190782952220852,0.15267943446048016,0.15267943446048016,0.15339168517273086,0.15407755622897226,0.15407755622897226,0.15535469543714595,0.15535469543714595,0.15535469543714595,0.15535469543714595,0.15591586266497987,0.15591586266497987,0.15591586266497987,0.15591586266497987
stripe_descriptions + rosette_descriptions,stripe_descriptions + rosette_descriptions,2,61,55,36,1.0,0.10909090909090909,0.14545454545454545,0.16363636363636364,0.23636363636363636,0.2909090909090909,0.34545454545454546,0.38181818181818183,0.4,0.43636363636363634,0.4909090909090909,0.509090909090909,0.5454545454545454,0.5636363636363636,0.6545454545454545,0.7272727272727273,0.8,0.8181818181818182,0.8909090909090909,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9454545454545454,0.9454545454545454,0.9454545454545454,0.9454545454545454,0.9454545454545454,0.9454545454545454,0.9454545454545454,0.9454545454545454,0.9454545454545454,0.9818181818181818,1.0,1.0,1.0,1.0,1.0,0.10909090909090909,0.12727272727272726,0.13333333333333333,0.15151515151515152,0.16242424242424242,0.1715151515151515,0.17670995670995673,0.178982683982684,0.18302308802308803,0.1884776334776335,0.19013052603961697,0.19316082906992,0.1945594304685214,0.20105293696202786,0.20590142181051269,0.21044687635596723,0.21151639507254477,0.2155567991129488,0.21651373691199186,0.21651373691199186,0.21651373691199186,0.21816662947397533,0.21816662947397533,0.21831814462549048,0.21831814462549048,0.21831814462549048,0.21831814462549048,0.21831814462549048,0.21831814462549048,0.21831814462549048,0.21949116515334974,0.22005934697153154,0.22005934697153154,0.22005934697153154,0.22005934697153154,0.22005934697153154
stripe_descriptions + disk color,stripe_descriptions + disk color,2,61,56,36,1.0,0.03571428571428571,0.07142857142857142,0.16071428571428573,0.26785714285714285,0.3392857142857143,0.35714285714285715,0.42857142857142855,0.44642857142857145,0.44642857142857145,0.4642857142857143,0.48214285714285715,0.48214285714285715,0.5178571428571429,0.5178571428571429,0.5357142857142857,0.5535714285714286,0.5892857142857143,0.6071428571428571,0.6071428571428571,0.625,0.6428571428571429,0.6428571428571429,0.6607142857142857,0.7321428571428571,0.7321428571428571,0.7857142857142857,0.8392857142857143,0.8571428571428571,0.875,0.8928571428571429,0.9285714285714286,0.9464285714285714,0.9464285714285714,0.9464285714285714,0.9821428571428571,1.0,0.03571428571428571,0.05357142857142857,0.08333333333333334,0.1101190476190476,0.12440476190476189,0.12738095238095234,0.13758503401360545,0.1398171768707483,0.1398171768707483,0.1416028911564626,0.14322626777983924,0.14322626777983924,0.14597352052709198,0.14597352052709198,0.14716399671756816,0.1482800681461396,0.15038090848227403,0.15137297197433752,0.15137297197433752,0.1522658291171947,0.15311616925324908,0.15311616925324908,0.15389256676877702,0.15686875724496754,0.15686875724496754,0.1589291968054071,0.16091332378953407,0.16155107889157488,0.1621668424383729,0.162762080533611,0.1639941593866576,0.1645521951009433,0.1645521951009433,0.1645521951009433,0.1655726032642086,0.16606863501024036
stripe_descriptions + madreporite_descriptions,stripe_descriptions + madreporite_descriptions,2,61,42,36,1.0,0.023809523809523808,0.07142857142857142,0.07142857142857142,0.09523809523809523,0.11904761904761904,0.19047619047619047,0.2619047619047619,0.2619047619047619,0.2619047619047619,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.40476190476190477,0.42857142857142855,0.5238095238095238,0.6428571428571429,0.6428571428571429,0.7142857142857143,0.7380952380952381,0.7857142857142857,0.7857142857142857,0.8095238095238095,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.9047619047619048,0.9047619047619048,1.0,1.0,1.0,1.0,0.023809523809523808,0.047619047619047616,0.047619047619047616,0.05357142857142857,0.058333333333333334,0.07023809523809524,0.0804421768707483,0.0804421768707483,0.0804421768707483,0.08282312925170068,0.08931663574520717,0.08931663574520717,0.09114813757670899,0.09114813757670899,0.09114813757670899,0.09263623281480424,0.09403679303889387,0.09932779832989913,0.10559346249030015,0.10559346249030015,0.1090463588003393,0.1101286098825904,0.1121990032573316,0.1121990032573316,0.11315138420971256,0.11406713512546347,0.11406713512546347,0.11406713512546347,0.11488815318786084,0.11488815318786084,0.1164242514981527,0.1164242514981527,0.11931025438415559,0.11931025438415559,0.11931025438415559,0.11931025438415559
stripe_descriptions + reticulation_descriptions,stripe_descriptions + reticulation_descriptions,2,61,42,36,1.0,0.07142857142857142,0.09523809523809523,0.11904761904761904,0.14285714285714285,0.21428571428571427,0.23809523809523808,0.3333333333333333,0.35714285714285715,0.38095238095238093,0.40476190476190477,0.40476190476190477,0.40476190476190477,0.4523809523809524,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.5,0.5714285714285714,0.5714285714285714,0.5952380952380952,0.5952380952380952,0.5952380952380952,0.5952380952380952,0.6904761904761905,0.6904761904761905,0.7380952380952381,0.7380952380952381,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.9047619047619048,0.9285714285714286,0.9523809523809523,0.9761904761904762,1.0,1.0,0.07142857142857142,0.08333333333333333,0.09126984126984126,0.09722222222222221,0.11150793650793651,0.11547619047619047,0.12908163265306122,0.13205782312925168,0.13470332577475436,0.13708427815570673,0.13708427815570673,0.13708427815570673,0.14074728181871038,0.14244796209081925,0.14244796209081925,0.14244796209081925,0.14384852231490888,0.14781677628316287,0.14781677628316287,0.14900725247363905,0.14900725247363905,0.14900725247363905,0.14900725247363905,0.152975506441893,0.152975506441893,0.15480700827339486,0.15477309157281147,0.15817445211702916,0.15817445211702916,0.15896810291067995,0.1605042012209718,0.16124824884001945,0.16196974956152013,0.16267002967356495,0.1633503017824085,0.1633503017824085
